Fecha,Ingresos
2023-05-28,660.75
2023-05-29,656.88
2023-05-30,583.73
2023-05-31,512.38
2023-06-01,489.26
2023-06-02,448.91
2023-06-03,552.89
2023-06-04,545.24
2023-06-05,513.61
2023-06-06,525.43
2023-06-07,509.43
2023-06-08,505.55
2023-06-09,498.94
2023-06-10,568.63
2023-06-11,577.69
2023-06-12,586.07
2023-06-13,618.2
2023-06-14,642.16
2023-06-15,436.24
2023-06-16,430.44
2023-06-17,530.0
2023-06-18,461.48
2023-06-19,519.16
2023-06-20,505.73
2023-06-21,563.86
2023-06-22,489.26
2023-06-23,487.84
2023-06-24,489.41
2023-06-25,407.0
2023-06-26,389.56
2023-06-27,396.5
2023-06-28,426.3
2023-06-29,440.84
2023-06-30,431.35
2023-07-01,429.84
2023-07-02,467.57
2023-07-03,429.37
2023-07-04,426.28
2023-07-05,427.86
2023-07-06,402.36
2023-07-07,379.24
2023-07-08,429.6
2023-07-09,498.19
2023-07-10,486.08
2023-07-11,404.25
2023-07-12,466.0
2023-07-13,365.49
2023-07-14,438.58
2023-07-15,515.29
2023-07-16,449.37
2023-07-17,444.73
2023-07-18,458.76
2023-07-19,521.15
2023-07-20,639.0
2023-07-21,629.55
2023-07-22,605.66
2023-07-23,669.9
2023-07-24,662.74
2023-07-25,524.6
2023-07-26,479.56
2023-07-27,519.44
2023-07-28,541.53
2023-07-29,549.33
2023-07-30,545.29
2023-07-31,564.56
2023-08-01,586.26
2023-08-02,556.75
2023-08-03,526.27
2023-08-04,460.06
2023-08-05,413.38
2023-08-06,417.02
2023-08-07,526.44
2023-08-08,605.55
2023-08-09,612.07
2023-08-10,573.39
2023-08-11,553.45
2023-08-12,461.05
2023-08-13,492.88
2023-08-14,575.77
2023-08-15,562.63
2023-08-16,596.34
2023-08-17,600.4
2023-08-18,624.91
2023-08-19,564.11
2023-08-20,505.78
2023-08-21,441.75
2023-08-22,466.69
2023-08-23,519.22
2023-08-24,559.34
2023-08-25,560.88
2023-08-26,526.93
2023-08-27,418.66
2023-08-28,377.07
2023-08-29,404.62
2023-08-30,461.09
2023-08-31,545.12
2023-09-01,510.35
2023-09-02,544.04
2023-09-03,546.62
2023-09-04,539.9
2023-09-05,569.45
2023-09-06,551.1
2023-09-07,600.39
2023-09-08,616.16
2023-09-09,591.78
2023-09-10,518.12
2023-09-11,508.74
2023-09-12,509.29
2023-09-13,438.33
2023-09-14,371.65
2023-09-15,504.58
2023-09-16,635.28
2023-09-17,656.65
2023-09-18,580.94
2023-09-19,429.38
2023-09-20,463.68
2023-09-21,509.51
2023-09-22,471.99
2023-09-23,477.63
2023-09-24,483.17
2023-09-25,417.46
2023-09-26,351.87
2023-09-27,397.96
2023-09-28,470.42
2023-09-29,543.94
2023-09-30,512.52
2023-10-01,423.33
2023-10-02,479.71
2023-10-03,427.0
2023-10-04,354.28
2023-10-05,410.8
2023-10-06,369.89
2023-10-07,413.88
2023-10-08,481.52
2023-10-09,524.77
2023-10-10,607.65
2023-10-11,670.34
2023-10-12,611.57
2023-10-13,448.16
2023-10-14,524.03
2023-10-15,508.33
2023-10-16,545.43
2023-10-17,568.36
2023-10-18,639.18
2023-10-19,658.38
2023-10-20,625.31
2023-10-21,567.38
2023-10-22,515.94
2023-10-23,494.01
2023-10-24,437.93
2023-10-25,435.96
2023-10-26,517.84
2023-10-27,518.24
2023-10-28,502.33
2023-10-29,490.25
2023-10-30,543.41
2023-10-31,486.35
2023-11-01,417.34
2023-11-02,493.75
2023-11-03,517.47
2023-11-04,534.25
2023-11-05,583.92
2023-11-06,632.19
2023-11-07,667.52
2023-11-08,602.19
2023-11-09,606.98
2023-11-10,630.03
2023-11-11,603.54
2023-11-12,464.09
2023-11-13,469.45
2023-11-14,594.12
2023-11-15,562.13
2023-11-16,574.07
2023-11-17,610.56
2023-11-18,582.46
2023-11-19,454.3
2023-11-20,406.11
2023-11-21,379.14
2023-11-22,358.08
2023-11-23,354.3
2023-11-24,378.04
2023-11-25,444.97
2023-11-26,475.85
2023-11-27,451.31
2023-11-28,426.6
2023-11-29,490.45
2023-11-30,527.55
2023-12-01,502.9
2023-12-02,473.67
2023-12-03,418.51
2023-12-04,483.98
2023-12-05,567.7
2023-12-06,569.29
2023-12-07,550.15
2023-12-08,583.88
2023-12-09,512.42
2023-12-10,478.56
2023-12-11,487.88
2023-12-12,555.42
2023-12-13,547.96
2023-12-14,488.16
2023-12-15,515.61
2023-12-16,537.92
2023-12-17,587.82
2023-12-18,656.92
2023-12-19,619.14
2023-12-20,563.32
2023-12-21,475.71
2023-12-22,441.33
2023-12-23,376.6
2023-12-24,320.96
2023-12-25,378.22
2023-12-26,436.08
2023-12-27,482.04
2023-12-28,536.05
2023-12-29,559.8
2023-12-30,628.57
2023-12-31,671.21
